id,name,full_name,owner,description,created_at,updated_at,pushed_at,homepage,size,stargazers_count,language,has_issues,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,default_branch,matching_rate
4839957,SlidingMenu,jfeinstein10/SlidingMenu,,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!,2012-06-30T05:14:23Z,2016-01-27T07:30:50Z,2016-01-23T12:27:33Z,,32085,8873,Java,TRUE,TRUE,TRUE,TRUE,5171,295,master,
10057936,picasso,square/picasso,,A powerful image downloading and caching library for Android,2013-05-14T15:07:47Z,2016-01-27T07:18:46Z,2016-01-26T17:12:50Z,http://square.github.io/picasso/,13702,8697,Java,TRUE,TRUE,FALSE,TRUE,2460,138,master,
5152285,okhttp,square/okhttp,,An HTTP+HTTP/2 client for Android and Java applications.,2012-07-23T13:42:55Z,2016-01-27T07:16:00Z,2016-01-27T06:00:37Z,http://square.github.io/okhttp/,14337,8694,Java,TRUE,TRUE,TRUE,TRUE,2179,103,master,
7116973,angular-client-side-auth,fnakstad/angular-client-side-auth,,One way to implement authentication/authorization in Angular applications,2012-12-11T18:22:15Z,2016-01-26T20:55:26Z,2014-11-23T09:56:12Z,http://angular-client-side-auth.herokuapp.com/,3190,1676,JavaScript,TRUE,TRUE,TRUE,FALSE,403,13,master,
688157,jQuery-Autocomplete,devbridge/jQuery-Autocomplete,,,2010-05-26T21:38:36Z,2016-01-26T23:24:44Z,2016-01-21T17:47:48Z,,2230,1675,JavaScript,TRUE,TRUE,TRUE,TRUE,891,49,master,
17341429,jquery-match-height,liabru/jquery-match-height,,a responsive equal heights plugin for jQuery,2014-03-02T16:28:24Z,2016-01-26T16:50:06Z,2016-01-04T21:12:15Z,,312,1672,JavaScript,TRUE,TRUE,TRUE,FALSE,319,25,master,
2519670,jugglingdb,1602/jugglingdb,,"Multi-database ORM: redis, mongodb, mysql, sqlite, postgres, neo4j, memory... Many databases, common API.",2011-10-05T14:46:25Z,2016-01-26T02:15:50Z,2016-01-19T18:26:27Z,http://jugglingdb.co,1736,1671,JavaScript,TRUE,TRUE,TRUE,TRUE,207,99,master,
15495333,ocLazyLoad,ocombe/ocLazyLoad,,Lazy load modules & components in AngularJS,2013-12-28T16:29:05Z,2016-01-26T21:01:59Z,2015-11-24T21:33:38Z,https://oclazyload.readme.io,1512,1669,JavaScript,TRUE,TRUE,TRUE,FALSE,249,41,master,
3457006,MIDI.js,mudcube/MIDI.js,,":musical_keyboard: Making life easy to create a MIDI-app on the web. Includes a library to program synesthesia into your app for memory recognition or for creating trippy effects. Convert soundfonts for Guitar, Bass, Drums, ect. into code that can be read by the browser. Supports multiple simultaneous instruments and perfect timing.",2012-02-16T04:39:42Z,2016-01-26T04:44:14Z,2015-10-16T10:56:30Z,http://mudcu.be/midi-js/,10950,1668,JavaScript,TRUE,TRUE,TRUE,FALSE,309,76,master,
7190749,framework,totaljs/framework,,"Free web application framework for building Web sites and Web applications using JavaScript, HTML and CSS. Node.js (MVC) web application framework.",2012-12-16T13:12:02Z,2016-01-26T20:50:21Z,2016-01-26T18:25:13Z,http://www.totaljs.com,17067,1667,JavaScript,TRUE,TRUE,FALSE,TRUE,241,0,master,
5269397,tooltipster,iamceege/tooltipster,,A jQuery tooltip plugin,2012-08-02T07:03:50Z,2016-01-27T02:30:12Z,2015-12-15T09:18:34Z,null,1552,1665,JavaScript,TRUE,TRUE,TRUE,TRUE,295,50,master,
